"archiveIndex","eligibleRank","state","exclusionReason","listingId","country","modelYear","mileageKm","realCostEur","absoluteScore","daysOnMarket","priceChangeFromFirstEur","accidentStatus","batterySohPercent","url"
"1","","SEEN_NOT_ELIGIBLE","PRICE_FILTER","R9N6QQ","BE","2024","57500","53715","98.9","20","0","NO_ACCIDENT","","https://finder.porsche.com/be/fr-BE/details/porsche-taycan-4-cross-turismo-doccasion-R9N6QQ?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"2","","SEEN_NOT_ELIGIBLE","MILEAGE_FILTER","6GVPZ6","DE","2023","103960","49151","98.7","20","-841","NO_ACCIDENT","88","https://finder.porsche.com/de/de-DE/details/porsche-taycan-sport-turismo-gebraucht-6GVPZ6?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=3c6c16f9-3279-4820-ba85-46e6a5baf701&ph_market=DE"
"3","","SEEN_NOT_ELIGIBLE","MILEAGE_FILTER","706O24","DE","2023","71900","49227","98.6","20","0","NO_ACCIDENT","90","https://finder.porsche.com/de/de-DE/details/porsche-taycan-gebraucht-706O24?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"4","","SEEN_NOT_ELIGIBLE","PRICE_FILTER","XZZV8N","FR","2023","61295","49992","98.2","3","0","NO_ACCIDENT","","https://finder.porsche.com/fr/fr-FR/details/porsche-taycan-4-cross-turismo-doccasion-XZZV8N?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"5","","SEEN_NOT_ELIGIBLE","PRICE_FILTER","WEKXX4","BE","2024","31903","53718","97.8","20","0","NO_ACCIDENT","","https://finder.porsche.com/be/fr-BE/details/porsche-taycan-4-cross-turismo-doccasion-WEKXX4?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"6","","SEEN_NOT_ELIGIBLE","MILEAGE_FILTER","V9M3LR","DE","2023","82900","49496","97.7","20","-840","NO_ACCIDENT","94","https://finder.porsche.com/de/de-DE/details/porsche-taycan-4-cross-turismo-gebraucht-V9M3LR?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"7","","SEEN_NOT_ELIGIBLE","MY2022_PRICE_CAP","MERGNO","LU","2022","33588","52906","97.4","20","-10994","NO_ACCIDENT","","https://finder.porsche.com/lu/fr-LU/details/porsche-taycan-4-cross-turismo-doccasion-MERGNO?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=9b1d3c0b-6fe5-48af-abc5-a0350e7858a5&ph_market=LU"
"8","","SEEN_NOT_ELIGIBLE","LISTING_STATUS","50LGO0","FR","2022","71307","49917","96.5","20","0","NO_ACCIDENT","","https://finder.porsche.com/fr/fr-FR/details/porsche-taycan-doccasion-50LGO0?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"9","","SEEN_NOT_ELIGIBLE","MILEAGE_FILTER","3KVXOV","DE","2023","121446","46134","96.3","3","0","NO_ACCIDENT","86","https://finder.porsche.com/de/de-DE/details/porsche-taycan-gebraucht-3KVXOV?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"10","","SEEN_NOT_ELIGIBLE","MY2022_PRICE_CAP","WK7M9M","NL","2022","48736","53512","96.1","20","0","UNKNOWN","","https://finder.porsche.com/nl/nl-NL/details/porsche-taycan-4-cross-turismo-occasion-WK7M9M?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=9b1d3c0b-6fe5-48af-abc5-a0350e7858a5&ph_market=NL"
"11","","SEEN_NOT_ELIGIBLE","MY2022_PRICE_CAP","8GR0PG","IT","2022","52606","52377","95.9","20","0","NO_ACCIDENT","","https://finder.porsche.com/it/it-IT/details/porsche-taycan-4-cross-turismo-usata-8GR0PG?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=9b1d3c0b-6fe5-48af-abc5-a0350e7858a5&ph_market=IT"
"12","","SEEN_NOT_ELIGIBLE","MILEAGE_FILTER","EX2LNW","DE","2021","100200","45294","95.8","20","-3866","NO_ACCIDENT","","https://finder.porsche.com/de/de-DE/details/porsche-taycan-4s-gebraucht-EX2LNW?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=9b1d3c0b-6fe5-48af-abc5-a0350e7858a5&ph_market=DE"
"13","","SEEN_NOT_ELIGIBLE","LISTING_STATUS","44Z0Q5","DE","2023","31602","49992","95.7","2","0","DECLARED","90","https://finder.porsche.com/de/de-DE/details/porsche-taycan-gebraucht-44Z0Q5?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"14","","SEEN_NOT_ELIGIBLE","LISTING_STATUS","363Z2V","DE","2021","23473","49294","95.4","20","0","NO_ACCIDENT","","https://finder.porsche.com/de/de-DE/details/porsche-taycan-4-cross-turismo-gebraucht-363Z2V?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"15","","SEEN_NOT_ELIGIBLE","PRICE_FILTER","05GMQ4","DE","2023","56771","50000","95.4","3","0","NO_ACCIDENT","92","https://finder.porsche.com/de/de-DE/details/porsche-taycan-gebraucht-05GMQ4?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"16","","SEEN_NOT_ELIGIBLE","PRICE_FILTER","OPMX8L","LU","2021","68143","49487","95.3","20","0","NO_ACCIDENT","","https://finder.porsche.com/lu/fr-LU/details/porsche-taycan-doccasion-OPMX8L?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=9b1d3c0b-6fe5-48af-abc5-a0350e7858a5&ph_market=LU"
"17","","SEEN_NOT_ELIGIBLE","PRICE_FILTER","L8KL96","DE","2023","45083","49546","95.3","3","0","NO_ACCIDENT","93","https://finder.porsche.com/de/de-DE/details/porsche-taycan-sport-turismo-gebraucht-L8KL96?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"18","","SEEN_NOT_ELIGIBLE","MILEAGE_FILTER","45M453","IT","2023","72879","45000","94.8","20","0","NO_ACCIDENT","","https://finder.porsche.com/it/it-IT/details/porsche-taycan-usata-45M453?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc"
"19","","SEEN_NOT_ELIGIBLE","LISTING_STATUS","903Q22","IT","2021","54120","49098","94.7","20","0","NO_ACCIDENT","","https://finder.porsche.com/it/it-IT/details/porsche-taycan-usata-903Q22?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=9b1d3c0b-6fe5-48af-abc5-a0350e7858a5&ph_market=IT"
"20","","SEEN_NOT_ELIGIBLE","MY2022_PRICE_CAP","5KK7XV","IT","2022","44900","51557","93.5","20","0","NO_ACCIDENT","","https://finder.porsche.com/it/it-IT/details/porsche-taycan-4-cross-turismo-usata-5KK7XV?condition=porsche_approved&model=taycan&minimum-registration-date=2020&order=price_asc&ph_auto=1&ph_session=9b1d3c0b-6fe5-48af-abc5-a0350e7858a5&ph_market=IT"
